symbol,arm64_file,arm64_line,commit_hash,commit_title,commit_url,patch_url,trace_status
ARM64_ERRATUM_1024718,arch/arm64/Kconfig,668,ece1397cbc89c51914fae1aec729539cfd8bd62b,arm64: Add work around for Arm Cortex-A55 Erratum 1024718,https://git.kernel.org/torvalds/c/ece1397cbc89c51914fae1aec729539cfd8bd62b,https://git.kernel.org/torvalds/c/ece1397cbc89c51914fae1aec729539cfd8bd62b.patch,ok
ARM64_ERRATUM_1165522,arch/arm64/Kconfig,699,a457b0f7f50d4d189f0d009617885e4341133e8e,arm64: Add configuration/documentation for Cortex-A76 erratum 1165522,https://git.kernel.org/torvalds/c/a457b0f7f50d4d189f0d009617885e4341133e8e,https://git.kernel.org/torvalds/c/a457b0f7f50d4d189f0d009617885e4341133e8e.patch,ok
ARM64_ERRATUM_1286807,arch/arm64/Kconfig,757,ce8c80c536dac9f325a051b30bf7730ee505eddc,arm64: Add workaround for Cortex-A76 erratum 1286807,https://git.kernel.org/torvalds/c/ce8c80c536dac9f325a051b30bf7730ee505eddc,https://git.kernel.org/torvalds/c/ce8c80c536dac9f325a051b30bf7730ee505eddc.patch,ok
ARM64_ERRATUM_1319367,arch/arm64/Kconfig,712,c2cc62d831863151fd0cb7da7ac9a0c324aab871,arm64: Enable and document ARM errata 1319367 and 1319537,https://git.kernel.org/torvalds/c/c2cc62d831863151fd0cb7da7ac9a0c324aab871,https://git.kernel.org/torvalds/c/c2cc62d831863151fd0cb7da7ac9a0c324aab871.patch,ok
ARM64_ERRATUM_1418040,arch/arm64/Kconfig,682,a5325089bd05a7b0259cc4038479d36308edbda2,arm64: Handle erratum 1418040 as a superset of erratum 1188873,https://git.kernel.org/torvalds/c/a5325089bd05a7b0259cc4038479d36308edbda2,https://git.kernel.org/torvalds/c/a5325089bd05a7b0259cc4038479d36308edbda2.patch,ok
ARM64_ERRATUM_1463225,arch/arm64/Kconfig,774,969f5ea627570e91c9d54403287ee3ed657f58fe,arm64: errata: Add workaround for Cortex-A76 erratum #1463225,https://git.kernel.org/torvalds/c/969f5ea627570e91c9d54403287ee3ed657f58fe,https://git.kernel.org/torvalds/c/969f5ea627570e91c9d54403287ee3ed657f58fe.patch,ok
ARM64_ERRATUM_1508412,arch/arm64/Kconfig,807,96d389ca10110d7eefb46feb6af9a0c6832f78f5,arm64: Add workaround for Arm Cortex-A77 erratum 1508412,https://git.kernel.org/torvalds/c/96d389ca10110d7eefb46feb6af9a0c6832f78f5,https://git.kernel.org/torvalds/c/96d389ca10110d7eefb46feb6af9a0c6832f78f5.patch,ok
ARM64_ERRATUM_1530923,arch/arm64/Kconfig,725,275fa0ea2cf7a84450f9c0ec0d9e7ec168ed2e2d,arm64: Workaround for Cortex-A55 erratum 1530923,https://git.kernel.org/torvalds/c/275fa0ea2cf7a84450f9c0ec0d9e7ec168ed2e2d,https://git.kernel.org/torvalds/c/275fa0ea2cf7a84450f9c0ec0d9e7ec168ed2e2d.patch,ok
ARM64_ERRATUM_1542419,arch/arm64/Kconfig,792,05460849c3b51180d5ada3373d0449aea19075e4,arm64: errata: Hide CTR_EL0.DIC on systems affected by Neoverse-N1 #1542419,https://git.kernel.org/torvalds/c/05460849c3b51180d5ada3373d0449aea19075e4,https://git.kernel.org/torvalds/c/05460849c3b51180d5ada3373d0449aea19075e4.patch,ok
ARM64_ERRATUM_1742098,arch/arm64/Kconfig,620,44b3834b2eed595af07021b1c64e6f9bc396398b,arm64: errata: Remove AES hwcap for COMPAT tasks,https://git.kernel.org/torvalds/c/44b3834b2eed595af07021b1c64e6f9bc396398b,https://git.kernel.org/torvalds/c/44b3834b2eed595af07021b1c64e6f9bc396398b.patch,ok
ARM64_ERRATUM_1902691,arch/arm64/Kconfig,1036,708e8af4924ec2fdd5b81fe09192c6bac2f86935,arm64: errata: Add detection for TRBE trace data corruption,https://git.kernel.org/torvalds/c/708e8af4924ec2fdd5b81fe09192c6bac2f86935,https://git.kernel.org/torvalds/c/708e8af4924ec2fdd5b81fe09192c6bac2f86935.patch,ok
ARM64_ERRATUM_2038923,arch/arm64/Kconfig,1013,3bd94a8759de9b724b83a80942b0354acd7701eb,arm64: errata: Add detection for TRBE invalid prohibited states,https://git.kernel.org/torvalds/c/3bd94a8759de9b724b83a80942b0354acd7701eb,https://git.kernel.org/torvalds/c/3bd94a8759de9b724b83a80942b0354acd7701eb.patch,ok
ARM64_ERRATUM_2051678,arch/arm64/Kconfig,830,297ae1eb23b04c5a46111ab53c8d0f69af43f402,arm64: cpufeature: List early Cortex-A510 parts as having broken dbm,https://git.kernel.org/torvalds/c/297ae1eb23b04c5a46111ab53c8d0f69af43f402,https://git.kernel.org/torvalds/c/297ae1eb23b04c5a46111ab53c8d0f69af43f402.patch,ok
ARM64_ERRATUM_2054223,arch/arm64/Kconfig,910,fa82d0b4b833790ac4572377fb777dcea24a9d69,arm64: errata: Add workaround for TSB flush failures,https://git.kernel.org/torvalds/c/fa82d0b4b833790ac4572377fb777dcea24a9d69,https://git.kernel.org/torvalds/c/fa82d0b4b833790ac4572377fb777dcea24a9d69.patch,ok
ARM64_ERRATUM_2064142,arch/arm64/Kconfig,995,607a9afaae09cde21ece458a8f10cb99d3f94f14,arm64: errata: Add detection for TRBE ignored system register writes,https://git.kernel.org/torvalds/c/607a9afaae09cde21ece458a8f10cb99d3f94f14,https://git.kernel.org/torvalds/c/607a9afaae09cde21ece458a8f10cb99d3f94f14.patch,ok
